batch_id,production_date,product_code,shift,operator_id,inspection_id,inspection_date,inspector_id,quality_score,defect_type,defect_severity,defect_count,rework_required,comments,factory_location
A1234-20240601,2024-06-01,PRD-02,afternoon,OP-5691,INSP-0001,2024-06-01 15:22:17,INS-2231,99.7,NO_DEFECT,0,0,False,No issues detected. Batch meets all quality benchmarks.,Factory-E1
B0876-20240602,2024-06-02,PRD-03,morning,OP-1674,INSP-0002,2024-06-02 09:18:43,INS-9052,87.4,NO_DEFECT,0,0,False,Perfect batch. No defects observed.,Factory-Y7
C4218-20240603,2024-06-03,PRD-01,night,OP-2517,INSP-0003,2024-06-04 00:43:11,INS-0342,81.1,scratch,1,1,False,Minor scratch detected but within tolerance.,Factory-Z3
D3127-20240603,2024-06-03,PRD-04,afternoon,OP-0033,INSP-0004,2024-06-03 16:08:29,INS-5961,94.3,NO_DEFECT,0,0,False,Batch exceeded benchmarks.,Factory-X0
E2098-20240604,2024-06-04,PRD-02,morning,OP-5691,INSP-0005,2024-06-04 08:42:14,INS-9052,77.8,marking,2,2,False,Spot marking observed. No rework required.,Factory-G9
F5921-20240605,2024-06-05,PRD-03,afternoon,OP-7777,INSP-0006,2024-06-05 15:17:05,INS-2178,61.4,misalignment,3,7,True,Batch failed due to misalignment. Requires full rework.,Factory-A2
G7423-20240606,2024-06-06,PRD-02,night,OP-0033,INSP-0007,2024-06-07 01:02:39,INS-0342,59.2,contamination,3,5,True,Contamination detected. Rework required.,Factory-X0
H9305-20240607,2024-06-07,PRD-04,morning,OP-4178,INSP-0008,2024-06-07 10:40:15,INS-2231,69.8,mislabel,2,3,True,"Mislabel found, batch flagged for rework.",Factory-Y7
J4207-20240608,2024-06-08,PRD-01,afternoon,OP-2517,INSP-0009,2024-06-08 14:55:21,INS-9052,100.0,NO_DEFECT,0,0,False,No defects. Outstanding product.,Factory-A2
K5182-20240609,2024-06-09,PRD-02,night,OP-2517,INSP-0010,2024-06-10 00:31:46,INS-0342,3.2,major_crack,4,17,True,Complete failure. Batch must be discarded.,Factory-E1
L1096-20240610,2024-06-10,PRD-03,afternoon,OP-0033,INSP-0011,2024-06-10 16:11:34,INS-2178,93.8,NO_DEFECT,0,0,False,Outstanding batch. No deviations.,Factory-G9
M8315-20240611,2024-06-11,PRD-04,morning,OP-5691,INSP-0012,2024-06-11 11:23:47,INS-2231,85.0,NO_DEFECT,0,0,False,Batch passed all tests.,Factory-Y7
N5012-20240612,2024-06-12,PRD-01,afternoon,OP-2186,INSP-0013,2024-06-12 15:03:58,INS-9052,76.4,dent,2,1,False,"Minor dent observed, no impact on function.",Factory-G9
O1238-20240613,2024-06-13,PRD-02,night,OP-2517,INSP-0014,2024-06-14 02:12:38,INS-0342,41.9,cracking,4,15,True,"Cracking detected, batch failed.",Factory-Z3
P8762-20240614,2024-06-14,PRD-03,morning,OP-0112,INSP-0015,2024-06-14 09:36:51,INS-5961,98.2,NO_DEFECT,0,0,False,No issues detected.,Factory-X0
Q2110-20240615,2024-06-15,PRD-01,afternoon,OP-3452,INSP-0016,2024-06-15 16:21:07,INS-9052,72.0,discoloration,1,1,False,Minor discoloration. Within acceptable limits.,Factory-G9
R5203-20240616,2024-06-16,PRD-02,night,OP-2186,INSP-0017,2024-06-17 01:19:53,INS-0342,69.5,contamination,3,8,True,Contamination. Full rework required.,Factory-A2
