batch_id,production_date,product_code,shift,operator_id,inspection_id,inspection_date,inspector_id,quality_score,defect_type,defect_severity,defect_count,rework_required,comments,factory_location
A1234-20240601,2024-06-01,PRD-02,afternoon,OP-5691,INSP-0001,2024-06-01T15:22:17,INS-2231,99.7,,,0,false,No issues detected. Batch meets all quality benchmarks.,Factory-E1
B0876-20240602,2024-06-02,PRD-03,morning,OP-1674,INSP-0002,2024-06-02T09:18:43,INS-9052,87.4,,,0,false,Perfect batch. No defects observed.,Factory-Y7
C4218-20240603,2024-06-03,PRD-01,night,OP-2517,INSP-0003,2024-06-04T00:43:11,INS-0342,81.1,scratch,1,1,false,Minor scratch detected but within tolerance.,Factory-Z3
D3127-20240603,2024-06-03,PRD-04,afternoon,OP-0033,INSP-0004,2024-06-03T16:08:29,INS-5961,94.3,,,0,false,Batch exceeded benchmarks.,Factory-X0
E2098-20240604,2024-06-04,PRD-02,morning,OP-5691,INSP-0005,2024-06-04T08:42:14,INS-9052,77.8,marking,2,2,false,Spot marking observed. No rework required.,Factory-G9
F5921-20240605,2024-06-05,PRD-03,afternoon,OP-7777,INSP-0006,2024-06-05T15:17:05,INS-2178,61.4,misalignment,3,7,true,Batch failed due to misalignment. Requires full rework.,Factory-A2
G7423-20240606,2024-06-06,PRD-02,night,OP-0033,INSP-0007,2024-06-07T01:02:39,INS-0342,59.2,contamination,3,5,true,Contamination detected. Rework required.,Factory-X0
H9305-20240607,2024-06-07,PRD-04,morning,OP-4178,INSP-0008,2024-06-07T10:40:15,INS-2231,69.8,mislabel,2,3,true,"Mislabel found, batch flagged for rework.",Factory-Y7
J4207-20240608,2024-06-08,PRD-01,afternoon,OP-2517,INSP-0009,2024-06-08T14:55:21,INS-9052,100,,,0,false,No defects. Outstanding product.,Factory-A2
K5182-20240609,2024-06-09,PRD-02,night,OP-2517,INSP-0010,2024-06-10T00:31:46,INS-0342,3.2,major_crack,4,17,true,Complete failure. Batch must be discarded.,Factory-E1
L1096-20240610,2024-06-10,PRD-03,afternoon,OP-0033,INSP-0011,2024-06-10T16:11:34,INS-2178,93.8,,,0,false,Outstanding batch. No deviations.,Factory-G9
M8315-20240611,2024-06-11,PRD-04,morning,OP-5691,INSP-0012,2024-06-11T11:23:47,INS-2231,85,,,0,false,Batch passed all tests.,Factory-Y7
N5012-20240612,2024-06-12,PRD-01,afternoon,OP-2186,INSP-0013,2024-06-12T15:03:58,INS-9052,76.4,dent,2,1,false,"Minor dent observed, no impact on function.",Factory-G9
O1238-20240613,2024-06-13,PRD-02,night,OP-2517,INSP-0014,2024-06-14T02:12:38,INS-0342,41.9,cracking,4,15,true,"Cracking detected, batch failed.",Factory-Z3
P8762-20240614,2024-06-14,PRD-03,morning,OP-0112,INSP-0015,2024-06-14T09:36:51,INS-5961,98.2,,,0,false,No issues detected.,Factory-X0
Q2110-20240615,2024-06-15,PRD-01,afternoon,OP-3452,INSP-0016,2024-06-15T16:21:07,INS-9052,72,discoloration,1,1,false,Minor discoloration. Within acceptable limits.,Factory-G9
R5203-20240616,2024-06-16,PRD-02,night,OP-2186,INSP-0017,2024-06-17T01:19:53,INS-0342,69.5,contamination,3,8,true,Contamination. Full rework required.,Factory-A2
S1542-20240617,2024-06-17,PRD-04,afternoon,OP-0033,INSP-0018,2024-06-17T15:46:39,INS-2178,100,,,0,false,No defects found. Exceptional quality.,Factory-G9
T7612-20240618,2024-06-18,PRD-03,morning,OP-4178,INSP-0019,2024-06-18T10:15:04,INS-5961,99.9,,,0,false,Batch meets highest standards.,Factory-Y7
U6045-20240619,2024-06-19,PRD-01,afternoon,OP-0001,INSP-0020,2024-06-19T15:02:12,INS-2231,82.3,scratch,1,2,false,"Light scratch detected, no action needed.",Factory-E1
V2354-20240620,2024-06-20,PRD-02,night,OP-2186,INSP-0021,2024-06-21T03:00:59,INS-0342,49.7,misalignment,4,6,true,Severe misalignment. Batch failed.,Factory-X0
W3819-20240621,2024-06-21,PRD-03,afternoon,OP-5691,INSP-0022,2024-06-21T14:44:28,INS-2178,100,,,0,false,"Outstanding batch, no defects.",Factory-A2
X6210-20240622,2024-06-22,PRD-01,morning,OP-2517,INSP-0023,2024-06-22T09:59:01,INS-9052,79.8,marking,2,1,false,"Marking noted, within tolerance.",Factory-Z3
Y9027-20240623,2024-06-23,PRD-02,afternoon,OP-0033,INSP-0024,2024-06-23T14:33:56,INS-2178,85.7,,,0,false,Batch passed inspection.,Factory-G9
Z4172-20240624,2024-06-24,PRD-03,night,OP-0112,INSP-0025,2024-06-25T01:17:31,INS-9052,63.8,contamination,3,4,true,Batch flagged for rework due to contamination.,Factory-Y7
A8015-20240625,2024-06-25,PRD-04,morning,OP-5691,INSP-0026,2024-06-25T11:04:24,INS-2231,89.5,,,0,false,Batch meets all required specs.,Factory-X0
B4002-20240626,2024-06-26,PRD-01,afternoon,OP-2186,INSP-0027,2024-06-26T15:57:09,INS-9052,75.3,dent,1,1,false,"Minor dent found, no further action.",Factory-E1
C0281-20240627,2024-06-27,PRD-02,night,OP-3452,INSP-0028,2024-06-28T00:27:17,INS-0342,57.9,cracking,3,9,true,Cracking detected. Full rework necessary.,Factory-A2
D7723-20240628,2024-06-28,PRD-03,morning,OP-4178,INSP-0029,2024-06-28T10:27:13,INS-5961,100,,,0,false,Batch received perfect rating.,Factory-Z3
E5631-20240629,2024-06-29,PRD-04,afternoon,OP-0033,INSP-0030,2024-06-29T16:36:21,INS-2178,88.5,,,0,false,No issues detected.,Factory-Y7
F3812-20240630,2024-06-30,PRD-01,night,OP-2517,INSP-0031,2024-07-01T02:37:55,INS-0342,0,major_crack,4,19,true,Complete failure. Batch rejected.,Factory-G9
G9028-20240520,2024-05-20,PRD-02,morning,OP-2186,INSP-0032,2024-05-20T09:07:01,INS-9052,97.6,,,0,false,No defects found.,Factory-E1
H7213-20240521,2024-05-21,PRD-03,afternoon,OP-0033,INSP-0033,2024-05-21T16:12:05,INS-2178,84.1,,,0,false,Batch meets all requirements.,Factory-X0
J8123-20240522,2024-05-22,PRD-04,night,OP-4178,INSP-0034,2024-05-23T00:45:37,INS-0342,66.5,mislabel,3,4,true,"Mislabel found, rework required.",Factory-Y7
K9134-20240523,2024-05-23,PRD-02,morning,OP-5691,INSP-0035,2024-05-23T08:31:46,INS-9052,91.7,,,0,false,No deviations detected.,Factory-G9
L5812-20240524,2024-05-24,PRD-01,afternoon,OP-0112,INSP-0036,2024-05-24T14:10:09,INS-2178,74.9,scratch,2,2,false,"Minor scratch detected, no rework needed.",Factory-A2
M6718-20240525,2024-05-25,PRD-03,night,OP-2517,INSP-0037,2024-05-26T01:16:27,INS-0342,55.2,cracking,3,5,true,Cracking observed. Batch flagged for rework.,Factory-Z3
N1829-20240526,2024-05-26,PRD-04,morning,OP-5691,INSP-0038,2024-05-26T10:06:53,INS-2231,98.7,,,0,false,Batch meets all standards.,Factory-Y7
O3992-20240527,2024-05-27,PRD-01,afternoon,OP-0001,INSP-0039,2024-05-27T15:35:11,INS-9052,76.1,discoloration,2,2,false,Discoloration within acceptable range.,Factory-G9
P4728-20240528,2024-05-28,PRD-02,night,OP-3452,INSP-0040,2024-05-29T02:55:43,INS-0342,45.8,misalignment,4,10,true,"Misalignment detected, batch failed.",Factory-X0
Q3291-20240529,2024-05-29,PRD-03,morning,OP-4178,INSP-0041,2024-05-29T08:30:17,INS-5961,100,,,0,false,Batch scored 100. No defects.,Factory-A2
R8092-20240530,2024-05-30,PRD-01,afternoon,OP-2186,INSP-0042,2024-05-30T16:01:33,INS-9052,73.2,marking,2,2,false,"Marking found, no functional impact.",Factory-Z3
S4923-20240531,2024-05-31,PRD-02,night,OP-0033,INSP-0043,2024-06-01T00:57:28,INS-0342,40.2,cracking,4,16,true,Significant cracking. Batch must be reworked.,Factory-X0
T1809-20240515,2024-05-15,PRD-04,morning,OP-5691,INSP-0044,2024-05-15T10:18:09,INS-2231,99.2,,,0,false,Batch meets all benchmarks.,Factory-Y7
U1203-20240101,2024-01-01,PRD-01,afternoon,OP-0001,INSP-0045,2024-01-01T14:29:15,INS-9052,100,,,0,false,First batch of the year. No issues.,Factory-G9
V3812-20230228,2023-02-28,PRD-02,night,OP-2186,INSP-0046,2023-03-01T01:18:49,INS-0342,0,major_crack,4,20,true,Old batch. Catastrophic failure.,Factory-E1
W7281-20240503,2024-05-03,PRD-03,morning,OP-2517,INSP-0047,2024-05-03T08:46:22,INS-9052,99.6,,,0,false,Outstanding batch.,Factory-X0
X2019-20240504,2024-05-04,PRD-04,afternoon,OP-0033,INSP-0048,2024-05-04T14:31:01,INS-2178,83,,,0,false,No defects detected.,Factory-Y7
